Annual_Income,Total_EMI_per_month,Interest_Rate,Num_Credit_Inquiries,Payment_of_Min_Amount,Num_Credit_Card,Num_Bank_Accounts,Credit_History_Age,Num_of_Delayed_Payment,Num_of_Loan,Credit_Mix,Age,Output
46477.56,212.2481903604725,24,12.0,1,10,7,110.0,22.0,6,0,39,0
153147.64,81.91896276024062,3,1.0,0,4,5,308.0,14.0,1,0,52,0
16833.105,51.70293826482851,4,6.0,0,5,5,232.0,15.0,4,0,39,2
131693.37,208.8584734221076,10,6.0,0,7,0,267.0,3.0,3,0,31,1
22233.98,39.59802419086021,3,2.0,0,6,5,352.0,0.0,4,0,33,1
19590.31,31.47494933859052,14,4.0,2,7,3,226.0,8.0,2,1,36,1
142177.84,322.87607996147136,12,2.0,0,1,5,221.13820819139417,7.0,3,0,28,2
19212.79,48.50360250809072,18,11.0,2,8,6,199.0,9.0,4,1,29,0
58317.0,149.89719942100822,9,10.0,2,5,8,164.0,14.0,6,1,44,1
21426.07,117.26678653680165,16,7.0,1,7,5,184.0,19.0,7,0,46,1
14134.26,17.601400433181432,30,16.0,2,7,6,104.0,14.0,2,1,19,1
33755.94,179.9685952067299,22,14.0,2,10,6,124.0,18.0,8,0,33,1
143961.64,215.3274883500914,16,6.0,2,5,4,267.0,14.0,2,1,49,1
86617.16,141.3820546343075,6,4.0,0,4,8,294.0,19.0,3,1,45,1
11889.26,75301.0,14,2.0,2,4,5,310.0,18.0,3,0,31,1
8283.985,27.717669924871537,17,6.0,2,4,8,148.0,9.0,5,1,41,0
59714.2,27.779994851258788,5,4.0,1,5,4,215.0,20.0,1,1,34,1
15516.87,0.0,10,0.0,0,3,5,215.0,5.0,0,0,39,2
13004618.0,156.95657029118857,1,3.0,0,7,0,335.0,9.0,3,0,45,1
9830.785,55.7022529107393,31,9.0,2,5,10,20.0,19.0,9,0,38,0
56850.32,135.2489550937056,5,4.0,2,6,3,221.13820819139417,6.0,4,1,21,1
19212.79,48.50360250809072,18,11.0,2,8,6,221.13820819139417,14.0,4,1,29,0
9743.96,18.85845156233991,4,5.0,1,7,8,202.0,12.0,4,0,35,1
103228.74,0.0,12,4.0,0,7,3,208.0,10.0,0,1,20,1
45033.54,57.85260773104784,21,6.0,2,6,5,221.13820819139417,16.0,2,1,44,0
29453.84,86.08630790375713,12,7.0,2,5,7,178.0,20.0,5,1,28,1
34474.82,143.58101717832918,21,10.0,1,7,10,14.0,25.0,6,0,33,1
8967.46,27891.0,17,10.0,2,7,8,127.0,17.0,5,0,21,1
15153.54,61.79987176884573,26,11.0,2,5,8,101.0,16.0,6,0,41,0
31364.96,0.0,10,7.0,2,5,6,192.0,9.0,0,1,44,1
26282.47,23.409291173613912,17,4.0,0,5,7,204.0,18.0,2,1,39,2
56387.92,241.7206580934425,24,8.0,2,6,7,35.0,15.0,7,0,25,2
19543.44,64.88541487610803,15,12.0,2,5,8,19.0,24.0,7,0,34,1
93363.45,199.1752875163028,15,9.0,2,7,8,320.0,16.0,3,1,30,1
12660.16,0.0,15,2.0,0,7,5,298.0,14.0,0,1,29,1
19278.72,71.89556886649925,22,10.0,2,10,10,26.0,19.0,6,0,40,1
7493.335,12.319201594339749,18,6.0,2,4,7,231.0,12.0,2,1,37,1
36982.36,454.41955211428353,21,15.0,2,9,7,89.0,15.0,9,0,38,2
10690.96,81971.0,15,3.0,0,551,3,393.0,9.0,3,1,44,0
131091.6,0.0,12,0.0,1,6,6,233.0,17.0,0,1,28,2
20867.67,16.83718937945217,11,4.0,0,3,1,380.0,8.0,1,0,47,2
18290.89,12.796158289802731,14,3.0,2,4,8,370.0,19.0,1,1,48,1
90371.01,254.7579658510017,3,8.0,0,4,3,221.13820819139417,9.0,4,0,46,1
15603.415,33.8387723401147,7,0.0,1,5,3,222.0,1.0,3,0,50,1
72196.8,189.3677918655651,18,9.0,2,5,7,199.0,12.0,6,1,43,1
19092.585,9.390404494385884,12,6.0,1,7,0,205.0,0.0,1,0,44,1
11391.83,60.29375132377905,1,3.0,0,5,8,229.0,21.0,4,1,44,1
51627.39,58.65782243740803,19,6.0,2,7,4,203.0,13.0,2,0,26,0
163083.08,93.2489102152254,8,0.0,0,2,3,371.0,0.0,1,0,52,2
11834.645,11.089574893795469,10,10.0,2,7,5,161.0,14.0,2,0,23,1
41982.88,0.0,14,6.0,2,541,4,206.0,22.0,0,1,35,1
78399.12,237.2892496873064,29,12.0,2,9,8,201.0,13.0,6,0,33,0
83126.24,36566.0,34,7.0,2,8,9,116.0,20.0,4,0,23,1
102137.1,0.0,8,3.0,0,5,5,339.0,20.0,0,0,20,0
28975.42,19.300591248261625,13,2.0,0,5,4,278.0,14.0,1,1,48,1
22308.01,50.8108481274405,6,0.0,2,3,5,337.0,9.0,3,1,45,1
17908.01,179.78103075707023,12,1.0,0,4,5,223.0,10.0,2,0,41,2
83627.12,189.56363240412887,9,9.0,2,7,6,105.0,19.0,3,0,46,1
7845.795,19.994491274498465,27,12.0,2,5,10,72.0,19.0,6,0,19,0
64350.76,249.6308774606617,18,7.0,2,5,10,139.0,19.0,9,0,14,1
17891.16,76.92303388526908,27,8.0,2,9,10,97.0,14.0,8,0,23,0
42519.57,238.32688143378715,26,8.0,2,9,9,90.0,24.0,8,0,18,1
28836.92,0.0,6,5.0,0,3,6,333.0,19.0,0,0,55,2
17963.45,23.01331426191241,17,11.0,2,7,6,88.0,15.0,2,0,44,0
60909.15,131.1667360586821,9,8.0,2,6,3,86.0,14.0,5,1,16,0
19286.26,66.33474976688943,20,14.0,2,9,9,117.0,19.0,6,0,23,0
158871.12,86.90586037406021,8,4.0,0,4,0,231.0,1.0,1,0,49,1
37963.16,192.0858415822396,16,6.0,2,7,8,149.0,24.0,9,0,37,0
16472.09,0.0,6,9.0,0,3,4,390.0,7.0,0,0,30,2
90398.96,0.0,11,1.0,0,819,7,269.0,10.0,0,1,47,1
53751.21,222.2615579539905,19,11.0,2,8,9,88.0,21.0,9,0,31,1
29020.31,31.81302218592132,6,4.0,0,4,0,279.0,4.0,2,0,29,2
7699.255,33.450727712150545,27,12.0,2,10,6,151.0,21.0,7,0,16,2
40127.74,226.69978733773567,16,7.0,2,5,9,154.0,18.0,7,1,15,0
16167.61,104.46550389740196,31,6.0,2,8,7,72.0,17.0,9,0,44,1
88957.38,45.86939841625538,5,0.0,0,4,4,271.0,14.0,1,1,28,1
113630.4,0.0,5,4.0,0,172,4,328.0,6.0,0,0,51,2
19126.65,36.161658295200525,28,9.0,2,8,8,223.0,18.0,3,0,16,0
43892.31,80.11142370706325,28,12.0,2,9,6,125.0,22.0,4,0,41,0
12332.855,20.650802396018697,9,4.0,2,7,7,185.0,14.0,4,0,36,1
17515.75,79.93579618313555,27,6.0,2,9,7,94.0,20.0,6,0,21,1
34343.83,0.0,16,1.0,2,5,3,281.0,22.0,0,1,47,1
58510.6,212.1844454360266,34,12.0,2,7,8,36.0,21.0,7,0,40,1
11712577.0,113.83339081388108,8,0.0,0,6,5,277.0,11.0,4,0,26,1
95389.71,42.20224926544056,16,1.0,2,7,6,352.0,14.0,1,1,31,1
134328.90000000002,0.0,8,2.0,0,4,2,221.13820819139417,7.0,0,0,55,0
25428.7,85.08819787325076,15,8.0,2,4,5,151.0,20.0,6,1,22,1
17086.73,30.47395445930724,25,5.0,2,5,8,129.0,11.0,3,1,42,0
17951.3,62.69181676224886,20,8.0,2,4,3,222.0,11.0,7,1,28,1
14937.63,60.36998092001871,27,6.0,1,6,6,174.0,12.0,5,0,14,0
144546.72,136.9885566187904,7,1.0,0,3,0,276.0,14.0,2,0,18,1
109782.32,92.52665718154728,19,5.0,0,4,4,343.0,9.0,2,1,37,1
16923.73,93.94932531554689,19,8.0,2,7,10,44.0,19.0,9,0,31,1
16410.3,54.57249571365932,33,17.0,1,6,7,76.0,20.0,4,0,46,0
53627.01,186.1061962088812,30,12.0,2,8,10,65.0,18.0,7,0,20,0
14602.16,80.65111898262793,33,7.0,2,8,10,221.13820819139417,21.0,7,0,29,1
15289.33,44.72054752094138,12,8.0,2,6,8,94.0,16.0,7,1,31,1
90781.53,0.0,6,4.0,2,7,7,235.0,15.0,0,1,28,1
123526.8,291.01859360833,9,3.0,1,6,1,246.0,5.0,4,0,47,2
31501.87,37.42615839037271,16,3.0,2,3,5,356.0,17.0,2,1,46,1
8927.89,30.61297277949084,30,17.0,1,9,9,51.0,17.0,5,0,26,0
103695.12,0.0,11,4.0,0,4,3,232.0,8.0,0,1,50,1
39706.44,255.7272048329209,30,6.0,2,8,10,81.0,18.0,8,0,37,0
31316.47,30.82197969850557,6,1.0,0,2,0,218.0,5.0,2,0,28,2
57321.36,420.8886784375497,22,7.0,2,10,10,231.0,16.0,9,0,40,0
7156.425,18.88157799217587,31,6.0,2,6,10,221.13820819139417,15.0,5,0,22,1
61449.66,159.54641419956758,25,12.0,2,8,7,141.0,20.0,6,0,37,0
22292.16,0.0,14,2.0,1,5,5,237.0,17.0,0,1,48,1
134737.59,0.0,7,2.0,0,7,1,384.0,11.0,0,0,35,1
31318.22,65.49831071064018,14,2.0,0,4,7,189.0,14.0,3,0,48,1
66361.76,371.3229140456485,25,11.0,2,10,9,171.0,15.0,9,0,35,1
38436.68,28.48255057324285,5,2.0,0,5,2,340.0,6.0,1,0,46,1
82892.4,432.5257530425988,29,7.0,2,9,7,145.0,25.0,9,0,31,0
87659.42,238.30845782664483,7,1.0,0,5,3,212.0,1.0,4,0,45,1
102628.28,76.90893809050846,10,5.0,2,3,5,315.0,16.0,1,1,45,2
56070.92,23.84257842876391,6,7.0,1,6,5,245.0,13.0,1,1,40,1
84127.96,176.49743258152031,8,349.0,2,4,5,301.0,14.0,4,0,24,1
34963.82,108.79608291381334,10,0.0,2,5,6,276.0,14.0,4,1,54,1
